date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
2018-01-01 08:15:00,78.87,12.39,0.0,0.038576,86.13,98.8,29700,Weekday,Monday,Maximum_Load
2018-01-01 08:30:00,66.76,25.45,5.29,0.034308,98.81,86.09,30600,Weekday,Monday,Maximum_Load
2018-01-01 08:45:00,99.79,20.82,1.62,0.046199,94.95,96.35,31500,Weekday,Monday,Maximum_Load
2018-01-01 09:00:00,63.4,16.74,2.76,0.032431,96.08,76.37,32400,Weekday,Monday,Medium_Load
2018-01-01 09:15:00,24.22,7.04,1.98,0.016109,77.39,76.14,33300,Weekday,Monday,Light_Load
2018-01-01 09:30:00,94.89,22.88,0.0,0.047633,93.48,94.04,34200,Weekday,Monday,Maximum_Load
2018-01-01 09:45:00,34.98,14.68,3.62,0.018251,78.65,75.04,35100,Weekday,Monday,Medium_Load
2018-01-01 10:00:00,19.14,10.09,0.8,0.008005,76.03,76.46,36000,Weekday,Monday,Light_Load
2018-01-01 10:15:00,59.1,20.46,1.66,0.033224,99.33,83.94,36900,Weekday,Monday,Medium_Load
2018-01-01 10:30:00,12.22,7.33,1.13,0.00491,78.89,84.48,37800,Weekday,Monday,Light_Load
2018-01-01 10:45:00,88.99,10.72,4.2,0.044981,89.2,79.37,38700,Weekday,Monday,Maximum_Load
2018-01-01 11:00:00,44.11,6.13,0.4,0.021966,85.1,97.03,39600,Weekday,Monday,Medium_Load
2018-01-01 11:15:00,119.22,13.53,0.0,0.057461,91.94,88.03,40500,Weekday,Monday,Maximum_Load
2018-01-01 11:30:00,58.43,21.27,0.56,0.027356,78.13,82.47,41400,Weekday,Monday,Medium_Load
2018-01-01 11:45:00,54.46,12.24,0.95,0.028504,98.24,87.96,42300,Weekday,Monday,Medium_Load
2018-01-01 12:00:00,19.25,10.08,5.1,0.010016,94.35,85.14,43200,Weekday,Monday,Medium_Load
2018-01-01 12:15:00,47.27,6.62,2.54,0.023891,92.56,76.53,44100,Weekday,Monday,Medium_Load
2018-01-01 12:30:00,81.25,9.57,0.0,0.041889,96.57,85.76,45000,Weekday,Monday,Maximum_Load
2018-01-01 12:45:00,80.75,15.61,0.0,0.041019,87.95,98.69,45900,Weekday,Monday,Maximum_Load
2018-01-01 13:00:00,52.44,6.68,2.55,0.026942,90.98,85.12,46800,Weekday,Monday,Maximum_Load
2018-01-01 13:15:00,61.64,24.01,2.09,0.030783,93.44,77.44,47700,Weekday,Monday,Maximum_Load
2018-01-01 13:30:00,42.07,10.17,3.28,0.020619,96.86,90.05,48600,Weekday,Monday,Medium_Load
2018-01-01 13:45:00,105.08,33.47,0.85,0.054967,92.63,81.35,49500,Weekday,Monday,Maximum_Load
2018-01-01 14:00:00,7.78,1.75,5.14,0.003243,82.67,90.18,50400,Weekday,Monday,Light_Load
2018-01-01 14:15:00,36.22,13.33,4.01,0.021357,95.37,79.12,51300,Weekday,Monday,Medium_Load
2018-01-01 14:30:00,26.2,7.51,4.62,0.011759,89.15,87.08,52200,Weekday,Monday,Light_Load
2018-01-01 14:45:00,37.25,7.72,0.0,0.017945,88.18,78.49,53100,Weekday,Monday,Medium_Load
2018-01-01 15:00:00,39.53,15.19,2.38,0.020486,80.4,88.05,54000,Weekday,Monday,Medium_Load
2018-01-01 15:15:00,39.51,9.11,0.53,0.017967,82.67,86.6,54900,Weekday,Monday,Medium_Load
2018-01-01 15:30:00,54.12,14.28,2.27,0.02702,91.14,90.05,55800,Weekday,Monday,Maximum_Load
2018-01-01 15:45:00,49.42,20.39,2.25,0.02418,83.53,79.14,56700,Weekday,Monday,Medium_Load
2018-01-01 16:00:00,30.88,11.93,0.94,0.013191,93.42,99.92,57600,Weekday,Monday,Medium_Load
2018-01-01 16:15:00,40.06,16.44,1.61,0.018018,88.02,81.92,58500,Weekday,Monday,Medium_Load
2018-01-01 16:30:00,13.94,7.33,3.06,0.008054,77.67,98.34,59400,Weekday,Monday,Light_Load
2018-01-01 16:45:00,119.12,19.09,6.09,0.058601,92.19,79.64,60300,Weekday,Monday,Maximum_Load
2018-01-01 17:00:00,3.0,0.36,4.15,0.002075,71.38,75.09,61200,Weekday,Monday,Light_Load
2018-01-01 17:15:00,97.4,11.46,1.92,0.045455,94.05,98.15,62100,Weekday,Monday,Maximum_Load
2018-01-01 17:30:00,97.42,19.17,2.26,0.047246,97.17,85.96,63000,Weekday,Monday,Maximum_Load
2018-01-01 17:45:00,30.44,9.32,5.22,0.012738,92.05,76.5,63900,Weekday,Monday,Medium_Load
2018-01-01 18:00:00,14.8,7.04,2.36,0.008563,71.47,88.36,64800,Weekday,Monday,Light_Load
2018-01-01 18:15:00,112.88,37.67,3.61,0.053988,88.21,76.76,65700,Weekday,Monday,Maximum_Load
2018-01-01 18:30:00,64.74,25.34,0.83,0.031555,87.53,87.75,66600,Weekday,Monday,Maximum_Load
2018-01-01 18:45:00,84.93,17.6,0.38,0.044677,93.51,93.26,67500,Weekday,Monday,Maximum_Load
2018-01-01 19:00:00,46.24,13.53,3.03,0.019778,77.19,78.5,68400,Weekday,Monday,Medium_Load
2018-01-01 19:15:00,14.54,6.3,6.42,0.004866,85.63,75.12,69300,Weekday,Monday,Light_Load
2018-01-01 19:30:00,51.92,18.42,3.36,0.023348,77.79,87.02,70200,Weekday,Monday,Medium_Load
2018-01-01 19:45:00,11.85,3.9,1.51,0.005218,73.49,92.47,71100,Weekday,Monday,Light_Load
2018-01-01 20:00:00,90.94,14.52,0.0,0.043156,87.79,76.13,72000,Weekday,Monday,Maximum_Load
2018-01-01 20:15:00,27.17,7.96,1.17,0.011917,94.24,83.3,72900,Weekday,Monday,Medium_Load
2018-01-01 20:30:00,43.49,11.81,1.11,0.024076,78.99,77.06,73800,Weekday,Monday,Medium_Load
2018-01-01 20:45:00,7.43,2.37,1.76,0.004949,81.9,88.66,74700,Weekday,Monday,Light_Load
2018-01-01 21:00:00,23.02,13.06,3.07,0.008421,83.75,98.13,75600,Weekday,Monday,Medium_Load
2018-01-01 21:15:00,34.07,4.42,3.79,0.016845,85.59,93.57,76500,Weekday,Monday,Medium_Load
2018-01-01 21:30:00,46.0,13.2,2.81,0.023655,77.55,77.12,77400,Weekday,Monday,Medium_Load
2018-01-01 21:45:00,48.76,7.65,1.12,0.024355,94.62,87.96,78300,Weekday,Monday,Medium_Load
2018-01-01 22:00:00,57.13,16.99,0.85,0.027311,95.64,88.43,79200,Weekday,Monday,Maximum_Load
2018-01-01 22:15:00,28.72,4.68,3.47,0.013542,96.62,77.83,80100,Weekday,Monday,Medium_Load
2018-01-01 22:30:00,18.88,4.82,0.84,0.010899,73.7,93.84,81000,Weekday,Monday,Light_Load
2018-01-01 22:45:00,51.02,12.41,0.4,0.023719,76.52,81.99,81900,Weekday,Monday,Medium_Load
2018-01-01 23:00:00,57.01,10.63,0.0,0.028687,95.78,89.9,82800,Weekday,Monday,Medium_Load
2018-01-01 23:15:00,24.97,4.97,3.1,0.014683,82.59,87.67,83700,Weekday,Monday,Light_Load
2018-01-01 23:30:00,52.42,10.19,0.24,0.026017,90.99,86.36,84600,Weekday,Monday,Medium_Load
2018-01-01 23:45:00,11.35,3.11,3.65,0.004237,79.85,80.12,85500,Weekday,Monday,Light_Load
2018-01-02 00:00:00,15.92,4.13,1.49,0.005646,74.35,84.53,0,Weekday,Tuesday,Light_Load
2018-01-02 00:15:00,28.61,13.39,0.0,0.013927,76.55,96.79,900,Weekday,Tuesday,Light_Load
2018-01-02 00:30:00,37.77,8.35,1.68,0.020246,78.15,77.89,1800,Weekday,Tuesday,Light_Load
2018-01-02 00:45:00,19.68,5.07,0.57,0.01041,86.77,93.66,2700,Weekday,Tuesday,Light_Load
2018-01-02 01:00:00,20.58,2.2,3.09,0.011975,73.06,85.86,3600,Weekday,Tuesday,Light_Load
2018-01-02 01:15:00,57.49,16.51,5.12,0.02515,97.3,91.79,4500,Weekday,Tuesday,Medium_Load
2018-01-02 01:30:00,17.1,4.47,3.16,0.009155,81.14,81.0,5400,Weekday,Tuesday,Light_Load
2018-01-02 01:45:00,26.52,10.12,0.12,0.013528,87.58,80.29,6300,Weekday,Tuesday,Light_Load
2018-01-02 02:00:00,107.66,29.29,3.06,0.050798,90.29,96.68,7200,Weekday,Tuesday,Maximum_Load
2018-01-02 02:15:00,20.61,4.93,3.27,0.007044,82.58,77.36,8100,Weekday,Tuesday,Light_Load
2018-01-02 02:30:00,15.5,2.4,0.53,0.005373,75.79,90.79,9000,Weekday,Tuesday,Light_Load
2018-01-02 02:45:00,25.49,6.66,4.52,0.013551,89.45,77.17,9900,Weekday,Tuesday,Medium_Load
2018-01-02 03:00:00,24.39,2.39,2.08,0.014389,73.21,78.43,10800,Weekday,Tuesday,Light_Load
2018-01-02 03:15:00,20.46,8.87,4.3,0.009301,73.42,90.15,11700,Weekday,Tuesday,Light_Load
2018-01-02 03:30:00,13.06,0.0,0.0,0.007103,75.85,81.17,12600,Weekday,Tuesday,Light_Load
2018-01-02 03:45:00,10.12,4.83,1.7,0.005505,87.74,88.11,13500,Weekday,Tuesday,Light_Load
2018-01-02 04:00:00,102.56,35.25,0.87,0.05213,96.15,94.63,14400,Weekday,Tuesday,Maximum_Load
2018-01-02 04:15:00,25.47,10.28,0.41,0.015427,83.5,94.3,15300,Weekday,Tuesday,Medium_Load
2018-01-02 04:30:00,54.11,16.72,0.58,0.025918,96.95,75.45,16200,Weekday,Tuesday,Medium_Load
2018-01-02 04:45:00,62.39,25.81,0.0,0.02708,75.61,94.36,17100,Weekday,Tuesday,Medium_Load
2018-01-02 05:00:00,58.08,7.27,3.63,0.028408,85.19,83.43,18000,Weekday,Tuesday,Medium_Load
2018-01-02 05:15:00,16.78,8.06,2.15,0.005889,82.56,98.21,18900,Weekday,Tuesday,Light_Load
2018-01-02 05:30:00,31.22,6.0,6.24,0.015131,82.13,78.11,19800,Weekday,Tuesday,Medium_Load
2018-01-02 05:45:00,24.69,3.47,0.65,0.013437,79.26,99.46,20700,Weekday,Tuesday,Light_Load
2018-01-02 06:00:00,114.01,35.66,3.43,0.055229,88.94,93.08,21600,Weekday,Tuesday,Maximum_Load
2018-01-02 06:15:00,78.53,14.46,4.15,0.03699,99.05,93.53,22500,Weekday,Tuesday,Maximum_Load
2018-01-02 06:30:00,57.56,11.83,0.7,0.030314,89.28,80.25,23400,Weekday,Tuesday,Medium_Load
2018-01-02 06:45:00,32.56,7.66,3.63,0.014892,76.95,94.58,24300,Weekday,Tuesday,Light_Load
2018-01-02 07:00:00,22.54,4.86,4.74,0.012392,75.02,88.83,25200,Weekday,Tuesday,Light_Load
2018-01-02 07:15:00,43.78,6.89,5.9,0.018274,77.31,80.24,26100,Weekday,Tuesday,Medium_Load
2018-01-02 07:30:00,110.44,12.14,0.97,0.056533,93.96,81.57,27000,Weekday,Tuesday,Maximum_Load
2018-01-02 07:45:00,74.73,13.45,3.96,0.038597,95.83,75.87,27900,Weekday,Tuesday,Maximum_Load
2018-01-02 08:00:00,8.94,2.85,5.2,0.005706,72.25,99.57,28800,Weekday,Tuesday,Light_Load
2018-01-02 08:15:00,61.34,14.03,1.06,0.034157,97.87,94.93,29700,Weekday,Tuesday,Medium_Load
2018-01-02 08:30:00,42.87,11.11,1.0,0.020704,96.99,80.48,30600,Weekday,Tuesday,Medium_Load
2018-01-02 08:45:00,44.01,9.67,2.41,0.019499,80.7,80.81,31500,Weekday,Tuesday,Medium_Load
2018-01-02 09:00:00,13.52,1.07,1.4,0.005919,75.25,89.16,32400,Weekday,Tuesday,Light_Load
2018-01-02 09:15:00,41.2,5.16,6.1,0.019491,92.13,96.7,33300,Weekday,Tuesday,Medium_Load
2018-01-02 09:30:00,116.1,36.15,0.0,0.057859,97.3,91.66,34200,Weekday,Tuesday,Maximum_Load
2018-01-02 09:45:00,72.72,28.19,1.19,0.034205,75.39,92.38,35100,Weekday,Tuesday,Medium_Load
2018-01-02 10:00:00,74.42,24.38,1.86,0.040604,82.24,88.7,36000,Weekday,Tuesday,Medium_Load
2018-01-02 10:15:00,109.01,36.96,4.35,0.053423,87.38,98.71,36900,Weekday,Tuesday,Maximum_Load
2018-01-02 10:30:00,53.91,18.16,1.77,0.029179,91.88,82.89,37800,Weekday,Tuesday,Medium_Load
2018-01-02 10:45:00,57.96,6.88,1.59,0.029288,91.21,99.37,38700,Weekday,Tuesday,Maximum_Load
2018-01-02 11:00:00,82.54,30.66,4.14,0.038881,86.29,75.76,39600,Weekday,Tuesday,Maximum_Load
2018-01-02 11:15:00,78.33,25.01,4.73,0.034015,93.93,93.8,40500,Weekday,Tuesday,Medium_Load
2018-01-02 11:30:00,39.12,6.09,1.6,0.018693,84.86,90.26,41400,Weekday,Tuesday,Medium_Load
2018-01-02 11:45:00,68.04,26.69,2.67,0.032197,82.99,98.97,42300,Weekday,Tuesday,Medium_Load
2018-01-02 12:00:00,45.83,19.98,0.0,0.021198,75.05,95.99,43200,Weekday,Tuesday,Medium_Load
2018-01-02 12:15:00,3.0,0.0,3.85,0.004278,88.0,75.23,44100,Weekday,Tuesday,Light_Load
2018-01-02 12:30:00,97.16,17.57,0.0,0.048675,89.09,91.92,45000,Weekday,Tuesday,Maximum_Load
2018-01-02 12:45:00,63.02,15.91,4.11,0.031922,79.53,95.96,45900,Weekday,Tuesday,Medium_Load
2018-01-02 13:00:00,13.31,5.41,2.16,0.009427,70.61,95.55,46800,Weekday,Tuesday,Light_Load
2018-01-02 13:15:00,61.89,3.99,4.31,0.029017,87.76,94.2,47700,Weekday,Tuesday,Medium_Load
2018-01-02 13:30:00,49.73,11.95,2.24,0.027384,96.14,99.88,48600,Weekday,Tuesday,Maximum_Load
2018-01-02 13:45:00,22.01,4.04,5.83,0.010435,81.56,77.27,49500,Weekday,Tuesday,Medium_Load
2018-01-02 14:00:00,14.14,2.44,1.45,0.004584,89.33,76.29,50400,Weekday,Tuesday,Light_Load
2018-01-02 14:15:00,49.38,13.88,3.45,0.026372,88.23,92.35,51300,Weekday,Tuesday,Medium_Load
2018-01-02 14:30:00,109.09,26.85,0.94,0.052838,97.36,99.54,52200,Weekday,Tuesday,Maximum_Load
2018-01-02 14:45:00,51.29,9.07,5.16,0.022663,76.88,81.45,53100,Weekday,Tuesday,Medium_Load
2018-01-02 15:00:00,57.59,25.16,1.56,0.029483,94.9,79.96,54000,Weekday,Tuesday,Maximum_Load
2018-01-02 15:15:00,85.5,21.57,3.69,0.039559,96.16,88.22,54900,Weekday,Tuesday,Maximum_Load
2018-01-02 15:30:00,50.04,13.34,3.0,0.025749,95.74,76.49,55800,Weekday,Tuesday,Medium_Load
2018-01-02 15:45:00,43.36,12.26,3.92,0.02075,86.27,86.77,56700,Weekday,Tuesday,Maximum_Load
2018-01-02 16:00:00,40.02,9.84,0.0,0.017968,78.83,83.32,57600,Weekday,Tuesday,Medium_Load
2018-01-02 16:15:00,73.8,24.02,6.78,0.035209,85.5,93.9,58500,Weekday,Tuesday,Maximum_Load
2018-01-02 16:30:00,67.29,21.04,0.0,0.034128,94.12,83.19,59400,Weekday,Tuesday,Maximum_Load
2018-01-02 16:45:00,47.75,14.14,1.81,0.024784,78.0,76.71,60300,Weekday,Tuesday,Medium_Load
2018-01-02 17:00:00,3.0,2.36,4.57,0.0,70.32,80.81,61200,Weekday,Tuesday,Light_Load
2018-01-02 17:15:00,88.43,18.31,4.62,0.041678,94.37,81.65,62100,Weekday,Tuesday,Maximum_Load
2018-01-02 17:30:00,48.44,7.37,4.23,0.02502,79.41,87.41,63000,Weekday,Tuesday,Medium_Load
2018-01-02 17:45:00,56.27,13.93,2.19,0.027359,82.41,95.59,63900,Weekday,Tuesday,Medium_Load
2018-01-02 18:00:00,3.0,0.0,3.69,0.001841,88.55,88.08,64800,Weekday,Tuesday,Light_Load
2018-01-02 18:15:00,17.43,1.53,1.62,0.009251,89.89,90.2,65700,Weekday,Tuesday,Medium_Load
2018-01-02 18:30:00,85.62,16.75,3.85,0.042096,99.93,94.22,66600,Weekday,Tuesday,Maximum_Load
2018-01-02 18:45:00,7.81,2.83,1.98,0.002449,74.29,76.58,67500,Weekday,Tuesday,Light_Load
2018-01-02 19:00:00,83.71,22.19,5.29,0.039424,79.14,98.95,68400,Weekday,Tuesday,Medium_Load
2018-01-02 19:15:00,13.93,5.13,3.71,0.006037,73.25,94.51,69300,Weekday,Tuesday,Light_Load
2018-01-02 19:30:00,41.25,4.89,2.64,0.02267,79.33,87.64,70200,Weekday,Tuesday,Medium_Load
2018-01-02 19:45:00,9.13,1.44,3.04,0.004837,84.59,86.6,71100,Weekday,Tuesday,Light_Load
2018-01-02 20:00:00,22.4,11.61,1.32,0.009649,83.72,82.13,72000,Weekday,Tuesday,Medium_Load
2018-01-02 20:15:00,49.3,8.59,3.65,0.024519,92.88,84.82,72900,Weekday,Tuesday,Medium_Load
2018-01-02 20:30:00,79.45,18.28,3.24,0.041513,97.0,79.23,73800,Weekday,Tuesday,Maximum_Load
2018-01-02 20:45:00,10.61,5.81,2.82,0.004038,80.84,93.55,74700,Weekday,Tuesday,Light_Load
2018-01-02 21:00:00,42.88,19.33,2.08,0.020606,93.24,75.74,75600,Weekday,Tuesday,Medium_Load
2018-01-02 21:15:00,13.47,0.5,1.41,0.005427,87.13,75.02,76500,Weekday,Tuesday,Light_Load
2018-01-02 21:30:00,47.17,4.42,2.02,0.022944,90.43,97.77,77400,Weekday,Tuesday,Maximum_Load
2018-01-02 21:45:00,98.96,18.07,1.03,0.047457,86.94,92.0,78300,Weekday,Tuesday,Maximum_Load
2018-01-02 22:00:00,5.73,1.95,1.8,0.002205,84.35,98.55,79200,Weekday,Tuesday,Light_Load
2018-01-02 22:15:00,40.72,11.29,4.26,0.021105,83.09,94.12,80100,Weekday,Tuesday,Medium_Load
2018-01-02 22:30:00,108.8,33.34,1.59,0.052996,90.72,86.21,81000,Weekday,Tuesday,Maximum_Load
2018-01-02 22:45:00,70.08,19.77,0.05,0.031428,90.49,75.26,81900,Weekday,Tuesday,Medium_Load
2018-01-02 23:00:00,3.0,2.89,0.43,0.003683,83.15,86.22,82800,Weekday,Tuesday,Light_Load
2018-01-02 23:15:00,14.27,2.18,5.17,0.009232,82.64,88.0,83700,Weekday,Tuesday,Light_Load
2018-01-02 23:30:00,16.53,2.83,0.83,0.01248,73.42,75.07,84600,Weekday,Tuesday,Light_Load
2018-01-02 23:45:00,22.06,6.98,0.37,0.010233,79.26,88.92,85500,Weekday,Tuesday,Medium_Load
2018-01-03 00:00:00,101.05,33.42,1.64,0.051701,85.94,89.89,0,Weekday,Wednesday,Maximum_Load
2018-01-03 00:15:00,47.07,16.17,2.83,0.021263,76.44,80.48,900,Weekday,Wednesday,Medium_Load
2018-01-03 00:30:00,17.21,2.83,5.02,0.010963,83.01,97.86,1800,Weekday,Wednesday,Light_Load
2018-01-03 00:45:00,8.64,0.0,4.39,0.003948,81.47,93.01,2700,Weekday,Wednesday,Light_Load
2018-01-03 01:00:00,52.49,4.53,2.48,0.0254,79.1,81.29,3600,Weekday,Wednesday,Medium_Load
2018-01-03 01:15:00,59.18,17.18,0.0,0.032997,97.17,91.97,4500,Weekday,Wednesday,Medium_Load
2018-01-03 01:30:00,48.82,3.64,3.95,0.021825,82.99,83.54,5400,Weekday,Wednesday,Medium_Load
2018-01-03 01:45:00,39.5,17.98,4.25,0.019323,88.57,77.26,6300,Weekday,Wednesday,Medium_Load
2018-01-03 02:00:00,40.96,14.42,3.91,0.0173,92.58,94.43,7200,Weekday,Wednesday,Medium_Load
2018-01-03 02:15:00,19.54,8.14,2.73,0.010708,78.09,87.36,8100,Weekday,Wednesday,Light_Load
2018-01-03 02:30:00,18.43,4.51,0.83,0.006937,87.47,98.33,9000,Weekday,Wednesday,Light_Load
2018-01-03 02:45:00,61.87,17.86,6.71,0.026813,89.4,98.91,9900,Weekday,Wednesday,Medium_Load
2018-01-03 03:00:00,41.33,2.14,3.28,0.020432,89.4,95.77,10800,Weekday,Wednesday,Medium_Load
2018-01-03 03:15:00,9.01,4.15,3.24,0.008328,84.7,81.21,11700,Weekday,Wednesday,Light_Load
2018-01-03 03:30:00,21.84,4.15,0.83,0.011945,78.72,86.97,12600,Weekday,Wednesday,Light_Load
2018-01-03 03:45:00,41.99,10.09,2.61,0.021919,79.16,94.8,13500,Weekday,Wednesday,Medium_Load
2018-01-03 04:00:00,25.6,7.14,2.99,0.01194,88.55,82.63,14400,Weekday,Wednesday,Light_Load
2018-01-03 04:15:00,19.54,8.25,0.64,0.009358,75.43,82.71,15300,Weekday,Wednesday,Light_Load
2018-01-03 04:30:00,24.86,2.85,3.38,0.012641,72.8,85.49,16200,Weekday,Wednesday,Light_Load
2018-01-03 04:45:00,34.52,10.4,3.5,0.013163,90.69,83.63,17100,Weekday,Wednesday,Medium_Load
2018-01-03 05:00:00,51.98,13.57,4.05,0.027095,76.07,89.79,18000,Weekday,Wednesday,Medium_Load
2018-01-03 05:15:00,14.31,2.85,0.0,0.007799,76.12,94.95,18900,Weekday,Wednesday,Light_Load
2018-01-03 05:30:00,31.65,2.21,4.19,0.01449,94.5,97.35,19800,Weekday,Wednesday,Medium_Load
2018-01-03 05:45:00,13.1,6.83,4.34,0.005837,77.34,77.96,20700,Weekday,Wednesday,Light_Load
2018-01-03 06:00:00,41.83,9.85,3.62,0.023087,98.5,89.17,21600,Weekday,Wednesday,Medium_Load
2018-01-03 06:15:00,68.66,25.18,1.29,0.029063,94.75,99.09,22500,Weekday,Wednesday,Medium_Load
2018-01-03 06:30:00,41.39,16.9,2.77,0.018865,86.15,90.68,23400,Weekday,Wednesday,Medium_Load
2018-01-03 06:45:00,64.47,24.61,3.49,0.03145,86.47,77.56,24300,Weekday,Wednesday,Maximum_Load
2018-01-03 07:00:00,51.8,21.15,2.49,0.026733,96.56,91.07,25200,Weekday,Wednesday,Medium_Load
2018-01-03 07:15:00,50.17,18.13,5.01,0.024314,95.1,94.12,26100,Weekday,Wednesday,Medium_Load
2018-01-03 07:30:00,15.68,1.23,4.1,0.006235,82.73,94.16,27000,Weekday,Wednesday,Light_Load
2018-01-03 07:45:00,47.07,5.04,0.0,0.024503,85.6,91.02,27900,Weekday,Wednesday,Medium_Load
2018-01-03 08:00:00,63.97,13.57,3.68,0.028468,93.94,85.49,28800,Weekday,Wednesday,Medium_Load
2018-01-03 08:15:00,59.22,10.02,3.06,0.030041,82.22,94.25,29700,Weekday,Wednesday,Medium_Load
2018-01-03 08:30:00,100.65,37.31,4.56,0.047873,95.32,95.53,30600,Weekday,Wednesday,Maximum_Load
2018-01-03 08:45:00,31.0,8.94,4.01,0.012718,76.56,99.04,31500,Weekday,Wednesday,Medium_Load
2018-01-03 09:00:00,146.27,20.71,0.56,0.075707,99.05,88.86,32400,Weekday,Wednesday,Maximum_Load
2018-01-03 09:15:00,109.32,12.68,4.5,0.053564,87.0,92.68,33300,Weekday,Wednesday,Maximum_Load
2018-01-03 09:30:00,98.38,32.56,0.0,0.048279,97.79,91.29,34200,Weekday,Wednesday,Maximum_Load
2018-01-03 09:45:00,30.31,8.48,3.4,0.017306,80.44,97.93,35100,Weekday,Wednesday,Medium_Load
2018-01-03 10:00:00,61.72,14.63,5.07,0.029944,90.52,80.7,36000,Weekday,Wednesday,Medium_Load
2018-01-03 10:15:00,39.69,9.85,6.26,0.019904,80.36,94.6,36900,Weekday,Wednesday,Medium_Load
2018-01-03 10:30:00,44.0,9.37,3.62,0.023019,88.83,87.02,37800,Weekday,Wednesday,Medium_Load
2018-01-03 10:45:00,52.99,12.83,0.07,0.026482,89.38,95.29,38700,Weekday,Wednesday,Maximum_Load
2018-01-03 11:00:00,27.67,9.04,1.65,0.017197,88.64,92.45,39600,Weekday,Wednesday,Medium_Load
